age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
61,96.6,1.84,14.23,False,Hyderabad,freelancer,Medium
41,83.4,1.52,27.68,False,Delhi,unemployed,Medium
76,56.8,1.9,11.82,False,Delhi,public_sector,Medium
49,73.3,1.89,3.61,False,Bangalore,retired,Low
69,45.2,1.71,23.02,False,Bangalore,retired,Medium
79,110.1,1.68,22.1,False,Delhi,student,Medium
75,51.3,1.62,59.73,False,Chennai,freelancer,Medium
69,89.8,1.71,27.06,True,Pune,student,High
29,119.0,1.52,20.35,False,Hyderabad,self_employed,Medium
56,85.2,1.88,35.04,False,Delhi,retired,Medium
19,114.3,1.52,5.78,False,Kolkata,business_owner,Medium
20,62.7,1.65,57.72,False,Pune,private_sector,Low
73,102.0,1.92,38.28,True,Bangalore,private_sector,High
76,84.8,1.83,45.41,False,Kolkata,public_sector,Medium
19,99.0,1.63,10.64,False,Bangalore,retired,Medium
19,49.7,1.61,24.86,False,Bangalore,retired,Low
71,56.1,1.5,25.65,False,Pune,self_employed,Medium
18,55.0,1.81,49.4,False,Bangalore,retired,Low
36,96.5,1.52,0.57,True,Ahmedabad,business_owner,High
19,108.3,1.74,18.4,False,Mumbai,student,Medium
70,101.2,1.93,58.88,True,Ahmedabad,retired,High
61,47.3,1.55,28.76,True,Mumbai,retired,High
49,110.0,1.9,23.26,False,Jaipur,self_employed,Medium
49,71.6,1.95,7.63,False,Jaipur,freelancer,Low
72,74.8,1.53,58.46,False,Bangalore,unemployed,Medium
73,52.9,1.9,1.69,False,Hyderabad,freelancer,Medium
34,100.3,1.73,44.36,False,Hyderabad,self_employed,Medium
55,58.7,1.91,46.23,False,Mumbai,freelancer,Medium
41,87.3,1.76,15.0,False,Kolkata,self_employed,Medium
28,108.1,1.8,40.46,True,Pune,business_owner,High
33,51.7,1.74,6.03,False,Bangalore,public_sector,Low
76,85.2,1.89,15.79,False,Pune,retired,Medium
20,62.5,1.83,47.38,False,Ahmedabad,self_employed,Low
37,70.7,1.73,51.95,False,Hyderabad,self_employed,Low
76,80.5,1.89,36.7,False,Chennai,unemployed,Medium
53,71.6,1.61,30.66,False,Ahmedabad,self_employed,Medium
36,93.7,1.57,9.98,False,Ahmedabad,private_sector,Medium
84,81.0,1.57,4.25,False,Mumbai,public_sector,Medium
36,88.8,1.65,7.5,False,Lucknow,retired,Medium
37,100.3,1.61,14.03,False,Ahmedabad,retired,Medium
69,86.8,1.92,20.83,True,Bangalore,unemployed,High
50,89.0,1.55,23.16,True,Delhi,business_owner,High
57,87.3,1.81,21.11,False,Delhi,retired,Medium
56,73.4,1.59,14.72,False,Bangalore,private_sector,Medium
18,70.3,1.9,30.83,False,Lucknow,retired,Low
28,112.5,1.93,49.6,False,Lucknow,private_sector,Medium
74,90.6,1.71,17.14,True,Mumbai,public_sector,High
67,63.3,1.9,56.57,False,Hyderabad,public_sector,Medium
40,82.4,1.5,52.46,False,Pune,student,Medium
48,69.8,1.87,10.12,False,Lucknow,student,Low
59,115.0,1.6,47.28,False,Chennai,private_sector,Medium
24,45.6,1.91,34.69,False,Mumbai,business_owner,Low
33,61.9,1.5,34.21,False,Jaipur,retired,Low
77,72.4,1.75,23.77,False,Kolkata,self_employed,Medium
19,81.6,1.84,30.32,True,Jaipur,retired,Medium
18,108.8,1.62,24.13,False,Mumbai,student,Medium
65,51.6,1.59,32.61,True,Ahmedabad,freelancer,High
29,105.4,1.54,37.86,False,Pune,self_employed,Medium
54,49.2,1.65,40.62,True,Kolkata,private_sector,High
49,108.2,1.75,32.18,False,Jaipur,self_employed,Medium
26,48.9,1.55,43.42,True,Kolkata,freelancer,Medium
36,46.4,1.67,8.91,False,Chennai,retired,Low
65,97.3,1.5,13.11,False,Chennai,retired,Medium
20,119.8,1.87,49.21,True,Chennai,business_owner,High
37,112.2,1.56,19.69,True,Mumbai,unemployed,High
41,88.2,1.63,1.86,False,Pune,self_employed,Medium
71,113.8,1.51,9.65,False,Mumbai,student,Medium
50,45.4,1.69,13.81,False,Delhi,freelancer,Low
41,118.1,1.88,57.46,False,Ahmedabad,freelancer,Medium
53,81.8,1.68,34.6,True,Ahmedabad,freelancer,High
55,99.2,1.58,56.0,False,Chennai,student,Medium
42,106.6,1.84,34.72,False,Delhi,unemployed,Medium
35,98.9,1.85,29.02,False,Lucknow,retired,Medium
83,85.1,1.58,19.17,False,Lucknow,business_owner,Medium
71,80.7,1.85,36.58,False,Chennai,business_owner,Medium
52,107.9,1.93,8.78,False,Jaipur,student,Medium
78,60.4,1.57,53.95,True,Mumbai,business_owner,High
58,117.6,1.85,49.85,False,Chennai,freelancer,Medium
50,98.3,1.82,19.39,False,Hyderabad,public_sector,Medium
50,60.0,1.71,57.19,False,Kolkata,unemployed,Low
31,100.2,1.53,49.6,True,Ahmedabad,retired,High
38,84.7,1.53,40.15,True,Lucknow,public_sector,High
65,98.0,1.88,7.74,False,Bangalore,unemployed,Medium
37,102.6,1.95,28.95,False,Lucknow,private_sector,Low
25,51.5,1.8,30.61,False,Ahmedabad,self_employed,Low
24,83.0,1.7,14.34,False,Kolkata,student,Medium
84,114.9,1.79,5.26,True,Ahmedabad,freelancer,High
34,69.0,1.77,46.72,False,Bangalore,business_owner,Low
50,89.5,1.67,7.76,False,Chennai,private_sector,Medium
65,72.7,1.53,35.86,False,Delhi,business_owner,Medium
76,79.1,1.87,56.22,True,Bangalore,public_sector,High
39,86.1,1.67,52.63,False,Ahmedabad,retired,Medium
47,86.2,1.87,17.03,True,Ahmedabad,retired,Medium
55,60.1,1.61,51.16,False,Hyderabad,retired,Medium
68,96.3,1.5,0.52,True,Hyderabad,freelancer,High
71,51.6,1.57,1.55,False,Pune,business_owner,Medium
25,55.4,1.71,36.35,False,Hyderabad,private_sector,Low
44,45.2,1.92,22.21,False,Mumbai,retired,Low
44,53.8,1.55,23.49,False,Delhi,private_sector,Low
38,80.5,1.88,34.08,False,Kolkata,business_owner,Low
47,90.5,1.74,11.91,False,Bangalore,freelancer,Medium
45,104.6,1.87,13.1,False,Ahmedabad,public_sector,Medium
81,53.0,1.63,29.33,False,Pune,freelancer,Medium
78,108.8,1.88,45.38,False,Pune,private_sector,Medium
65,100.9,1.85,37.36,False,Kolkata,freelancer,Medium
36,75.6,1.6,18.19,False,Delhi,freelancer,Medium
21,115.0,1.56,26.11,False,Bangalore,public_sector,Medium
52,119.3,1.89,10.65,False,Lucknow,business_owner,Medium
81,60.4,1.93,4.94,True,Hyderabad,business_owner,High
66,73.4,1.51,47.07,True,Chennai,student,High
34,114.5,1.83,16.29,False,Pune,freelancer,Medium
61,99.1,1.91,11.08,True,Hyderabad,business_owner,High
47,48.6,1.89,41.65,False,Hyderabad,business_owner,Low
63,103.6,1.93,37.27,False,Mumbai,unemployed,Medium
23,107.1,1.84,38.17,False,Delhi,retired,Medium
54,101.3,1.7,14.12,True,Chennai,student,High
41,105.0,1.64,14.34,False,Lucknow,self_employed,Medium
63,106.9,1.64,13.64,False,Ahmedabad,student,Medium
70,59.0,1.83,10.84,False,Mumbai,student,Medium
77,62.7,1.84,39.52,True,Hyderabad,self_employed,High
80,92.5,1.59,50.96,False,Hyderabad,unemployed,Medium
49,113.1,1.89,43.6,False,Jaipur,freelancer,Medium
50,68.7,1.82,47.63,False,Chennai,public_sector,Low
84,89.1,1.75,24.59,False,Chennai,business_owner,Medium
35,96.2,1.71,39.42,False,Jaipur,retired,Medium
42,78.9,1.74,21.58,False,Chennai,private_sector,Low
71,98.5,1.57,31.77,False,Hyderabad,freelancer,Medium
75,112.5,1.59,29.16,False,Pune,self_employed,Medium
84,91.8,1.54,11.02,False,Bangalore,public_sector,Medium
63,85.5,1.57,23.53,False,Hyderabad,freelancer,Medium
41,77.9,1.7,57.85,False,Mumbai,self_employed,Low
49,88.3,1.74,15.29,False,Delhi,business_owner,Medium
64,71.7,1.51,8.46,False,Jaipur,unemployed,Medium
40,74.4,1.86,25.41,False,Lucknow,freelancer,Low
83,84.9,1.63,47.53,False,Ahmedabad,self_employed,Medium
44,50.0,1.91,35.14,False,Lucknow,business_owner,Low
19,62.2,1.94,41.02,False,Hyderabad,business_owner,Low
34,85.7,1.58,11.79,False,Mumbai,unemployed,Medium
50,77.4,1.71,37.33,False,Hyderabad,student,Low
26,70.0,1.5,19.75,True,Delhi,freelancer,High
60,99.8,1.77,50.14,False,Pune,freelancer,Medium
65,97.0,1.77,37.94,True,Ahmedabad,student,High
56,57.5,1.61,12.33,False,Delhi,retired,Medium
59,110.9,1.75,4.34,True,Jaipur,retired,High
43,82.2,1.6,3.04,False,Jaipur,student,Medium
67,100.6,1.57,22.6,True,Hyderabad,public_sector,High
42,88.0,1.79,16.32,False,Mumbai,private_sector,Low
41,119.8,1.65,38.94,False,Delhi,business_owner,Medium
30,101.4,1.77,30.21,True,Kolkata,private_sector,High
77,98.0,1.69,16.33,False,Mumbai,business_owner,Medium
24,103.4,1.94,9.38,True,Pune,student,Medium
74,55.7,1.57,8.07,True,Jaipur,retired,High
53,60.3,1.71,51.95,False,Hyderabad,public_sector,Medium
62,98.6,1.81,14.99,False,Chennai,retired,Medium
37,82.0,1.68,39.28,False,Jaipur,private_sector,Medium
82,101.6,1.94,48.74,False,Ahmedabad,retired,Medium
25,52.7,1.82,37.04,False,Bangalore,student,Low
33,85.2,1.8,51.64,True,Chennai,public_sector,Medium
31,73.4,1.84,23.85,False,Hyderabad,private_sector,Low
32,79.3,1.93,57.4,False,Kolkata,public_sector,Low
83,90.3,1.91,8.42,False,Chennai,freelancer,Medium
49,82.7,1.83,6.58,False,Ahmedabad,business_owner,Low
80,85.5,1.84,39.69,False,Mumbai,retired,Medium
68,81.5,1.57,56.6,False,Kolkata,public_sector,Medium
42,75.7,1.55,48.63,False,Jaipur,unemployed,Medium
75,102.9,1.76,5.05,False,Kolkata,freelancer,Medium
80,45.9,1.51,17.12,False,Delhi,retired,Medium
79,89.9,1.72,55.85,False,Ahmedabad,business_owner,Medium
39,87.4,1.59,15.56,True,Chennai,public_sector,High
75,98.7,1.66,46.98,True,Delhi,private_sector,High
75,89.9,1.85,49.6,False,Kolkata,business_owner,Medium
66,107.0,1.92,29.98,False,Delhi,unemployed,Medium
69,116.9,1.53,23.49,False,Lucknow,public_sector,Medium
59,70.7,1.74,27.28,False,Ahmedabad,self_employed,Medium
32,62.1,1.9,14.0,False,Pune,self_employed,Low
71,76.8,1.54,53.42,False,Mumbai,student,Medium
77,66.6,1.87,27.31,False,Kolkata,retired,Medium
25,91.1,1.66,53.01,False,Ahmedabad,private_sector,Medium
70,113.4,1.64,6.79,False,Pune,student,Medium
77,55.4,1.94,59.3,False,Pune,public_sector,Medium
22,52.6,1.59,26.87,False,Hyderabad,self_employed,Low
23,64.2,1.81,3.35,False,Delhi,self_employed,Low
64,99.5,1.87,2.76,False,Pune,self_employed,Medium
72,89.5,1.52,44.9,True,Lucknow,public_sector,High
57,52.7,1.8,39.71,False,Ahmedabad,self_employed,Medium
69,113.9,1.93,48.23,False,Bangalore,business_owner,Medium
33,104.3,1.56,6.77,False,Bangalore,freelancer,Medium
30,46.7,1.9,2.62,False,Kolkata,public_sector,Low
47,93.9,1.77,30.76,False,Jaipur,private_sector,Medium
36,102.8,1.78,23.56,False,Delhi,freelancer,Medium
34,73.1,1.78,27.99,False,Jaipur,student,Low
80,50.2,1.63,59.5,True,Pune,private_sector,High
36,50.8,1.92,58.26,False,Ahmedabad,freelancer,Low
75,52.8,1.93,56.57,False,Kolkata,unemployed,Medium
72,108.0,1.78,47.14,False,Chennai,self_employed,Medium
79,113.3,1.85,21.61,False,Pune,unemployed,Medium
40,54.2,1.78,25.02,False,Delhi,retired,Low
26,62.7,1.72,33.2,False,Bangalore,retired,Low
29,57.4,1.8,49.92,False,Hyderabad,freelancer,Low
18,59.0,1.75,4.59,True,Ahmedabad,unemployed,Medium
75,107.8,1.77,25.75,False,Mumbai,public_sector,Medium
18,69.9,1.85,5.42,True,Jaipur,private_sector,Medium
51,68.4,1.72,31.12,False,Kolkata,unemployed,Medium
65,62.1,1.52,53.98,False,Jaipur,retired,Medium
18,90.6,1.57,47.06,True,Ahmedabad,unemployed,High
33,73.4,1.7,14.06,False,Jaipur,public_sector,Low
78,100.8,1.83,58.57,False,Ahmedabad,unemployed,Medium
81,60.4,1.77,40.21,False,Jaipur,private_sector,Medium
80,104.1,1.79,1.12,False,Lucknow,student,Medium
39,90.3,1.72,15.7,False,Chennai,public_sector,Medium
84,53.6,1.78,16.01,False,Pune,retired,Medium
43,76.1,1.65,4.62,False,Pune,private_sector,Low
33,109.8,1.71,57.61,False,Delhi,unemployed,Medium
68,114.2,1.83,28.96,False,Mumbai,unemployed,Medium
74,79.9,1.89,53.8,False,Mumbai,student,Medium
46,81.1,1.7,19.67,False,Delhi,retired,Medium
64,113.9,1.52,7.95,True,Hyderabad,retired,High
79,89.0,1.57,28.72,False,Pune,business_owner,Medium
33,47.5,1.51,7.28,False,Hyderabad,retired,Low
65,113.5,1.79,29.42,True,Ahmedabad,student,High
56,63.6,1.65,55.26,False,Ahmedabad,self_employed,Medium
50,88.3,1.74,31.49,False,Bangalore,business_owner,Medium
40,57.4,1.72,37.18,False,Jaipur,business_owner,Low
27,47.5,1.54,9.82,False,Mumbai,unemployed,Low
51,68.4,1.68,3.1,False,Bangalore,unemployed,Medium
69,103.5,1.6,7.09,True,Chennai,retired,High
27,65.8,1.69,36.11,False,Delhi,business_owner,Low
36,61.5,1.59,6.15,False,Delhi,freelancer,Low
75,61.0,1.88,22.87,False,Ahmedabad,unemployed,Medium
18,83.6,1.58,33.23,False,Pune,student,Medium
21,118.2,1.93,23.62,False,Hyderabad,freelancer,Medium
33,79.4,1.69,10.24,False,Mumbai,unemployed,Low
41,86.8,1.88,16.79,False,Bangalore,public_sector,Low
19,109.5,1.78,55.73,False,Hyderabad,public_sector,Medium
49,85.1,1.83,40.72,False,Bangalore,unemployed,Low
41,58.8,1.85,30.01,False,Jaipur,business_owner,Low
29,67.5,1.73,1.26,False,Chennai,self_employed,Low
67,68.2,1.74,59.55,False,Chennai,self_employed,Medium
52,74.8,1.73,40.45,True,Hyderabad,business_owner,High
50,77.0,1.76,19.36,True,Hyderabad,private_sector,Medium
50,105.0,1.51,52.82,True,Hyderabad,self_employed,High
78,71.2,1.68,15.88,True,Bangalore,public_sector,High
68,80.1,1.77,32.87,False,Jaipur,student,Medium
60,91.9,1.77,38.35,False,Lucknow,business_owner,Medium
29,73.3,1.86,13.65,False,Hyderabad,retired,Low
84,107.7,1.79,58.71,False,Pune,public_sector,Medium
82,89.1,1.95,45.02,False,Mumbai,student,Medium
50,67.1,1.63,33.69,False,Mumbai,student,Low
57,98.6,1.66,11.25,False,Bangalore,business_owner,Medium
60,84.6,1.67,3.7,False,Hyderabad,student,Medium
61,85.1,1.71,19.54,False,Ahmedabad,business_owner,Medium
46,81.1,1.88,45.31,True,Delhi,self_employed,Medium
30,82.3,1.61,16.53,False,Lucknow,unemployed,Medium
29,102.4,1.85,32.6,False,Pune,public_sector,Medium
63,52.7,1.68,43.81,False,Jaipur,private_sector,Medium
19,70.1,1.77,6.92,False,Ahmedabad,unemployed,Low
52,50.7,1.78,41.28,False,Chennai,public_sector,Medium
25,101.5,1.67,5.97,False,Ahmedabad,business_owner,Medium
43,65.4,1.73,57.93,True,Bangalore,public_sector,Medium
51,112.3,1.69,29.56,False,Lucknow,self_employed,Medium
24,84.5,1.53,9.47,False,Kolkata,business_owner,Medium
75,105.1,1.7,20.87,False,Kolkata,unemployed,Medium
46,118.4,1.54,25.1,True,Hyderabad,retired,High
53,108.0,1.68,45.61,False,Hyderabad,retired,Medium
38,110.0,1.77,44.73,False,Bangalore,freelancer,Medium
53,75.6,1.76,36.91,False,Jaipur,freelancer,Medium
27,86.4,1.8,6.8,False,Hyderabad,public_sector,Low
41,64.0,1.54,9.52,False,Delhi,retired,Low
81,59.7,1.79,6.08,False,Lucknow,business_owner,Medium
66,82.9,1.64,34.84,False,Bangalore,student,Medium
53,89.6,1.68,52.69,False,Mumbai,business_owner,Medium
41,70.4,1.89,26.31,True,Chennai,student,Medium
40,87.7,1.5,10.07,False,Bangalore,unemployed,Medium
79,111.6,1.76,33.7,True,Bangalore,private_sector,High
54,86.8,1.77,48.8,False,Kolkata,student,Medium
29,99.1,1.68,44.63,True,Pune,retired,High
72,105.4,1.61,52.95,False,Jaipur,business_owner,Medium
30,119.2,1.61,17.04,False,Pune,unemployed,Medium
40,90.2,1.9,12.04,False,Delhi,retired,Low
47,105.5,1.7,52.85,True,Mumbai,unemployed,High
34,117.2,1.65,39.62,False,Kolkata,private_sector,Medium
79,115.8,1.7,19.0,True,Mumbai,self_employed,High
30,55.6,1.8,44.67,False,Delhi,business_owner,Low
76,75.5,1.57,49.0,False,Pune,public_sector,Medium
36,69.3,1.7,37.09,False,Bangalore,business_owner,Low
66,51.5,1.76,41.43,False,Hyderabad,freelancer,Medium
29,92.5,1.93,22.83,False,Hyderabad,private_sector,Low
78,100.2,1.61,32.55,True,Ahmedabad,business_owner,High
36,108.6,1.66,31.69,False,Chennai,freelancer,Medium
26,54.2,1.67,50.96,False,Jaipur,public_sector,Low
45,110.7,1.77,50.48,False,Delhi,student,Medium
69,93.2,1.66,50.04,True,Chennai,unemployed,High
33,97.8,1.74,1.16,False,Jaipur,public_sector,Medium
29,113.3,1.85,45.1,False,Chennai,retired,Medium
42,91.9,1.82,45.64,False,Pune,private_sector,Low
69,70.2,1.7,40.86,False,Jaipur,student,Medium
70,106.9,1.89,45.5,False,Pune,retired,Medium
40,72.2,1.75,50.6,True,Bangalore,retired,Medium
33,47.6,1.74,28.48,True,Kolkata,private_sector,Medium
74,107.3,1.52,30.37,False,Pune,student,Medium
56,70.9,1.94,7.92,False,Hyderabad,self_employed,Medium
70,103.0,1.56,23.43,False,Chennai,retired,Medium
59,72.2,1.6,38.78,False,Ahmedabad,retired,Medium
75,109.6,1.52,46.93,True,Lucknow,student,High
56,61.5,1.79,13.42,True,Jaipur,business_owner,High
31,118.1,1.6,8.7,False,Delhi,retired,Medium
22,103.5,1.58,39.95,False,Ahmedabad,unemployed,Medium
52,53.6,1.54,0.61,False,Hyderabad,student,Medium
35,87.4,1.55,11.11,False,Pune,retired,Medium
26,118.9,1.76,2.23,False,Kolkata,private_sector,Medium
75,80.3,1.81,10.43,True,Bangalore,public_sector,High
34,58.7,1.68,11.29,False,Lucknow,unemployed,Low
24,81.4,1.72,23.57,True,Mumbai,freelancer,Medium
63,83.4,1.81,24.44,False,Ahmedabad,freelancer,Medium
30,100.6,1.51,52.52,False,Kolkata,public_sector,Medium
57,97.4,1.65,30.85,False,Mumbai,freelancer,Medium
59,75.2,1.94,43.54,False,Lucknow,public_sector,Medium
26,61.4,1.76,6.7,False,Delhi,retired,Low
67,93.4,1.61,13.91,False,Delhi,unemployed,Medium
44,76.6,1.73,42.33,False,Chennai,unemployed,Low
83,54.9,1.65,3.64,True,Lucknow,business_owner,High
22,112.5,1.74,29.45,False,Lucknow,public_sector,Medium
46,96.8,1.56,36.16,True,Mumbai,unemployed,High
54,96.2,1.56,36.33,True,Kolkata,business_owner,High
55,106.7,1.56,1.86,False,Jaipur,student,Medium
25,84.7,1.92,19.67,False,Mumbai,business_owner,Low
82,106.1,1.83,38.37,False,Bangalore,private_sector,Medium
34,82.4,1.57,9.37,False,Delhi,self_employed,Medium
62,50.0,1.58,41.88,False,Delhi,retired,Medium
